length_string	hash_name	number_strings	collision_proportion
10	RS	10000	0
10	RS	20000	0
10	RS	30000	0
10	RS	40000	0
10	RS	50000	0
10	RS	60000	0
10	RS	70000	0
10	RS	80000	1.25e-05
10	RS	90000	1.11111e-05
10	RS	100000	1e-05
10	RS	110000	9.09091e-06
10	RS	120000	2.5e-05
10	RS	130000	2.30769e-05
10	RS	140000	2.14286e-05
10	RS	150000	2.66667e-05
10	RS	160000	2.5e-05
10	RS	170000	2.35294e-05
10	RS	180000	2.22222e-05
10	RS	190000	2.10526e-05
10	RS	200000	2e-05
10	RS	210000	2.38095e-05
10	RS	220000	2.27273e-05
10	RS	230000	2.17391e-05
10	RS	240000	2.08333e-05
10	RS	250000	2.4e-05
10	RS	260000	2.30769e-05
10	RS	270000	2.59259e-05
10	RS	280000	2.5e-05
10	RS	290000	3.10345e-05
10	RS	300000	3e-05
10	RS	310000	2.90323e-05
10	RS	320000	3.125e-05
10	RS	330000	3.0303e-05
10	RS	340000	2.94118e-05
10	RS	350000	2.85714e-05
10	RS	360000	3.05556e-05
10	RS	370000	2.97297e-05
10	RS	380000	2.89474e-05
10	RS	390000	3.33333e-05
10	RS	400000	3.75e-05
10	RS	410000	3.65854e-05
10	RS	420000	4.04762e-05
10	RS	430000	4.4186e-05
10	RS	440000	4.31818e-05
10	RS	450000	4.44444e-05
10	RS	460000	5e-05
10	RS	470000	5.53191e-05
10	RS	480000	6.04167e-05
10	RS	490000	6.32653e-05
10	RS	500000	6.8e-05
10	RS	510000	6.66667e-05
10	RS	520000	6.92308e-05
10	RS	530000	7.16981e-05
10	RS	540000	7.22222e-05
10	RS	550000	7.09091e-05
10	RS	560000	7.32143e-05
10	RS	570000	7.19298e-05
10	RS	580000	7.24138e-05
10	RS	590000	7.62712e-05
10	RS	600000	7.5e-05
10	RS	610000	7.54098e-05
10	RS	620000	7.41935e-05
10	RS	630000	7.30159e-05
10	RS	640000	7.65625e-05
10	RS	650000	8e-05
10	RS	660000	8.18182e-05
10	RS	670000	8.0597e-05
10	RS	680000	8.08824e-05
10	RS	690000	8.11594e-05
10	RS	700000	8.14286e-05
10	RS	710000	8.4507e-05
10	RS	720000	8.47222e-05
10	RS	730000	8.49315e-05
10	RS	740000	8.37838e-05
10	RS	750000	8.26667e-05
10	RS	760000	8.15789e-05
10	RS	770000	8.31169e-05
10	RS	780000	8.46154e-05
10	RS	790000	8.35443e-05
10	RS	800000	8.5e-05
10	RS	810000	8.39506e-05
10	RS	820000	8.41463e-05
10	RS	830000	8.79518e-05
10	RS	840000	8.69048e-05
10	RS	850000	8.58824e-05
10	RS	860000	8.83721e-05
10	RS	870000	8.73563e-05
10	RS	880000	8.97727e-05
10	RS	890000	9.21348e-05
10	RS	900000	9.33333e-05
10	RS	910000	9.56044e-05
10	RS	920000	9.67391e-05
10	RS	930000	9.78495e-05
10	RS	940000	9.78723e-05
10	RS	950000	9.89474e-05
10	RS	960000	0.000103125
10	RS	970000	0.000104124
10	RS	980000	0.000105102
10	RS	990000	0.000105051
10	RS	1000000	0.000105
10	JS	10000	0
10	JS	20000	0
10	JS	30000	0
10	JS	40000	0
10	JS	50000	0
10	JS	60000	0
